sequence_type,name,technology,profiling_level,tool_link,publication_doi,publication_doi_link,last_update
DNA-to-DNA, PanTax, NGS;TGS, strain, https://github.com/LuoGroup2023/PanTax.git, 10.1101/gr.280858.125, https://www.genome.org/cgi/doi/10.1101/gr.280858.125, 2026
DNA-to-DNA, StrainEst, NGS, strain (single-species), https://github.com/compmetagen/strainest.git, 10.1038/s41467-017-02209-5, https://doi.org/10.1038/s41467-017-02209-5, 2017
DNA-to-DNA, StrainGE, NGS, strain (single-species), https://github.com/broadinstitute/StrainGE.git, 10.1186/s13059-022-02630-0, https://doi.org/10.1186/s13059-022-02630-0, 2022
DNA-to-DNA, StrainScan, NGS, strain (single-species), https://github.com/liaoherui/StrainScan.git, 10.1186/s40168-023-01615-w, https://doi.org/10.1186/s40168-023-01615-w, 2023
DNA-to-DNA, StrainR2, NGS, strain (single-species), https://github.com/BisanzLab/StrainR2.git, 10.1093/bioinformatics/btaf440, https://doi.org/10.1093/bioinformatics/btaf440, 2025
DNA-to-DNA, PHLAME, NGS, strain (single-species), https://github.com/quevan/phlame.git, 10.1016/j.celrep.2025.116134, https://linkinghub.elsevier.com/retrieve/pii/S2211-1247(25)00905-2, 2025
DNA-to-protein, MMseqs2, NGS[;TGS], forma;varietas;subspecies;species, https://github.com/soedinglab/MMseqs2.git, 10.1093/bioinformatics/btab184, https://doi.org/10.1093/bioinformatics/btab184, 2026
DNA-to-protein, Kaiju, NGS[;TGS], species, https://github.com/bioinformatics-centre/kaiju.git, 10.1038/ncomms11257, https://doi.org/10.1038/ncomms11257, 2016
DNA-to-protein, MEGAN-LR, TGS, strain, https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/algorithms-in-bioinformatics/software/megan6, 10.1186/s13062-018-0208-7, https://doi.org/10.1186/s13062-018-0208-7, 2018
DNA-to-DNA and protein, Metabuli, NGS;TGS, species, https://github.com/steineggerlab/Metabuli.git, 10.1038/s41592-024-02273-y, https://doi.org/10.1038/s41592-024-02273-y, 2024
Markers, MetaPhlAn4, NGS;TGS(v4.2.2), species, https://github.com/biobakery/MetaPhlAn.git, 10.1038/s41587-023-01688-w, https://doi.org/10.1038/s41587-023-01688-w, 2025
Markers, Melon, TGS, species, https://github.com/xinehc/melon.git, 10.1186/s13059-024-03363-y, https://doi.org/10.1186/s13059-024-03363-y, 2024
Markers, SingleM, NGS;TGS, species, https://github.com/wwood/singlem.git, 10.1038/s41587-025-02738-1, https://doi.org/10.1038/s41587-025-02738-1, 2024
DNA-to-DNA, MADRe, NGS, strain, https://github.com/lbcb-sci/MADRe.git, biorxiv, https://www.biorxiv.org/content/10.1101/2025.05.12.653324, 2025
DNA-to-DNA, Chimera, NGS, species, https://github.com/LoadStar822/Chimera.git, biorxiv, https://www.biorxiv.org/content/10.1101/2025.03.26.645388v1, 2025
DNA-to-DNA, UniqSketch, NGS, strain, https://github.com/amazon-science/uniqsketch.git, , , 2025
